CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
189;FALSE;10;1;1;NA;NA;0.91;0.14;0.71
190;FALSE;91;4;1;NA;NA;1.38;1.66;0.08
191;FALSE;49;4;1;NA;NA;1.82;2.38;0.51
192;FALSE;38;3;0;NA;NA;0.76;2.09;0.62
193;FALSE;97;0;1;NA;NA;2.33;1.68;0.79
194;FALSE;65;3;2;NA;NA;1.49;1.05;0.51
195;FALSE;36;1;1;NA;NA;0.46;2.07;0.74
196;FALSE;78;1;1;NA;NA;1.15;1.8;0.86
197;FALSE;50;0;1;NA;NA;0.98;0.82;0.7
198;FALSE;87;1;1;NA;NA;1.53;1.35;0.77
199;TRUE;65;0;0;NA;NA;0.51;1.35;0.53
200;FALSE;54;6;1;4;NA;1.83;1.36;0.87
201;FALSE;50;5;1;NA;9;1.97;1.31;0.25
202;FALSE;41;5;1;NA;7;0.45;0.99;0.39
203;FALSE;67;5;2;NA;10;0.81;2.31;0.68
204;FALSE;100;4;1;NA;NA;0.49;1.69;0.09
205;FALSE;20;6;0;17;NA;0.73;1.51;0.39
206;FALSE;116;3;1;NA;NA;1.59;2.46;0.12
207;FALSE;35;4;0;NA;NA;1.64;1.84;0.51
208;FALSE;62;3;0;NA;NA;2.15;1.55;0.71
209;FALSE;38;5;0;NA;5;2.36;1.42;0.64
210;FALSE;20;1;1;NA;NA;2.06;1.33;0.66
211;FALSE;46;3;0;NA;NA;1.05;2.47;0.06
212;FALSE;31;2;2;NA;NA;2.43;1.86;0.82
213;FALSE;100;6;0;4;NA;2.5;2.06;0.59
214;FALSE;4;1;0;NA;NA;1.13;0.28;0.8
215;FALSE;4;0;2;NA;NA;1.97;1.7;0.63
216;FALSE;108;6;0;11;NA;1.88;0.88;0.28
217;FALSE;134;3;0;NA;NA;0.79;1.75;0.64
218;FALSE;17;2;0;NA;NA;2.26;1.79;0.89
219;FALSE;26;4;1;NA;NA;1.44;2.13;0.71
220;FALSE;36;4;1;NA;NA;2.05;1.4;0.83
221;FALSE;146;6;1;6;NA;2.29;1.9;0.4
222;FALSE;5;0;2;NA;NA;1.09;1.97;0.64
223;FALSE;17;2;0;NA;NA;2.14;1.15;0.53
