RUN_ID;PATH;ITERATION_1;CONFIG_ID_1;SOLUTION_1;QUALITY_1;ORIGIN_TYPE_1;TYPE_1;ORIGIN_IS_ELITE_1;IS_ELITE_1;ITERATION_2;CONFIG_ID_2;SOLUTION_2;QUALITY_2;ORIGIN_TYPE_2;TYPE_2;ORIGIN_IS_ELITE_2;IS_ELITE_2
8;FALSE;1;19;02241XXXX10018555;0.40753311;START;STANDARD;TRUE;TRUE;1;19;02241XXXX10018555;0.40753311;START;STANDARD;TRUE;TRUE
8;FALSE;1;20;14742XXXX13022045;0.47237899;START;STANDARD;TRUE;TRUE;1;20;14742XXXX13022045;0.47237899;START;STANDARD;TRUE;TRUE
8;FALSE;1;21;04710XXXX00509000;0.88719338;START;START;FALSE;FALSE;1;21;04710XXXX00509000;0.88719338;START;START;FALSE;FALSE
8;FALSE;1;22;19731XXXX19503065;0.72726065;START;START;FALSE;FALSE;1;22;19731XXXX19503065;0.72726065;START;START;FALSE;FALSE
8;FALSE;1;23;1076004XX21014040;0.853848;START;START;FALSE;FALSE;1;23;1076004XX21014040;0.853848;START;START;FALSE;FALSE
8;FALSE;1;24;00722XXXX08501585;0.66490222;START;START;FALSE;FALSE;1;24;00722XXXX08501585;0.66490222;START;START;FALSE;FALSE
8;FALSE;1;25;05740XXXX02520060;0.39189536;START;STANDARD;TRUE;TRUE;1;25;05740XXXX02520060;0.39189536;START;STANDARD;TRUE;TRUE
8;FALSE;1;26;15711XXXX15007515;0.9072468;START;START;FALSE;FALSE;1;26;15711XXXX15007515;0.9072468;START;START;FALSE;FALSE
8;FALSE;1;27;08201XXXX11511005;0.90522364;START;START;FALSE;FALSE;1;27;08201XXXX11511005;0.90522364;START;START;FALSE;FALSE
8;FALSE;1;28;18232XXXX24023550;0.8880902;START;START;FALSE;FALSE;1;28;18232XXXX24023550;0.8880902;START;START;FALSE;FALSE
8;FALSE;1;29;03251XX0705517025;0.56340346;START;START;FALSE;FALSE;1;29;03251XX0705517025;0.56340346;START;START;FALSE;FALSE
8;FALSE;1;30;13210XXXX18004575;0.64588476;START;START;FALSE;FALSE;1;30;13210XXXX18004575;0.64588476;START;START;FALSE;FALSE
8;FALSE;1;31;19212XXXX03523035;0.84113617;START;START;FALSE;FALSE;1;31;19212XXXX03523035;0.84113617;START;START;FALSE;FALSE
8;FALSE;1;32;09240XXXX16010580;0.51673753;START;START;FALSE;FALSE;1;32;09240XXXX16010580;0.51673753;START;START;FALSE;FALSE
8;TRUE;1;25;05740XXXX02520060;0.39189536;START;STANDARD;TRUE;TRUE;2;25;05740XXXX02520060;0.39189536;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE;2;17;17250XX0716012535;0.42123586;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;1;19;02241XXXX10018555;0.40753311;START;STANDARD;TRUE;TRUE;2;19;02241XXXX10018555;0.40753311;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;1;12;17700XXXX04516010;0.47935805;START;STANDARD;TRUE;TRUE;2;12;17700XXXX04516010;0.47935805;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;1;20;14742XXXX13022045;0.47237899;START;STANDARD;TRUE;TRUE;2;20;14742XXXX13022045;0.47237899;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE;2;33;13212XXXX15512570;0.68813251;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE;2;34;18230XXXX21008005;0.9750525;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;25;05740XXXX02520060;0.39189536;START;STANDARD;TRUE;TRUE;2;35;04211XXXX04517555;0.54226694;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;25;05740XXXX02520060;0.39189536;START;STANDARD;TRUE;TRUE;2;36;07241XXXX01524585;0.47100395;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;12;17700XXXX04516010;0.47935805;START;STANDARD;TRUE;TRUE;2;37;11200XXXX08013050;0.40467958;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;12;17700XXXX04516010;0.47935805;START;STANDARD;TRUE;TRUE;2;38;18741XXXX05522530;0.88978929;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;25;05740XXXX02520060;0.39189536;START;STANDARD;TRUE;TRUE;2;39;12250XX0704518560;0.45438764;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;25;05740XXXX02520060;0.39189536;START;STANDARD;TRUE;TRUE;2;40;07240XXXX00005065;0.6137635;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;12;17700XXXX04516010;0.47935805;START;STANDARD;TRUE;TRUE;2;41;14741XXXX05014030;0.89574341;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE;2;42;1826004XX15513510;0.97018623;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;25;05740XXXX02520060;0.39189536;START;STANDARD;TRUE;TRUE;2;43;05250XX0704516030;0.52445288;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;19;02241XXXX10018555;0.40753311;START;STANDARD;TRUE;TRUE;2;44;09240XXXX13020015;0.42568174;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;1;20;14742XXXX13022045;0.47237899;START;STANDARD;TRUE;TRUE;2;45;19212XXXX11015050;0.82571509;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;25;05740XXXX02520060;0.39189536;START;STANDARD;TRUE;TRUE;2;46;04241XXXX04022075;0.45289397;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;25;05740XXXX02520060;0.39189536;START;STANDARD;TRUE;TRUE;2;47;17200XXXX00520040;0.45262024;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE;2;48;17230XXXX15013530;0.84238321;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE;2;49;02740XXXX13008510;0.67122322;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE;2;50;10711XXXX13504045;0.83550721;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE;2;51;18730XXXX14021025;0.80120033;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;25;05740XXXX02520060;0.39189536;START;STANDARD;TRUE;TRUE;2;52;00251XX0211522570;0.47794544;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;19;02241XXXX10018555;0.40753311;START;STANDARD;TRUE;TRUE;2;53;03221XXXX03504060;0.58941593;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE;2;54;13712XXXX09017025;0.89263864;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE;2;55;12721XXXX17502025;0.93739294;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;20;14742XXXX13022045;0.47237899;START;STANDARD;TRUE;TRUE;2;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE;2;57;17241XXXX23508050;0.7924365;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;17;17250XX0716012535;0.42123586;START;STANDARD;TRUE;TRUE;2;58;09220XXXX18008510;0.91800734;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;1;25;05740XXXX02520060;0.39189536;START;STANDARD;TRUE;TRUE;2;59;15742XXXX15009580;0.57771189;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;19;02241XXXX10018555;0.40753311;STANDARD;STANDARD;TRUE;TRUE;3;19;02241XXXX10018555;0.40753311;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;2;20;14742XXXX13022045;0.47237899;STANDARD;STANDARD;TRUE;TRUE;3;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;2;25;05740XXXX02520060;0.39189536;STANDARD;STANDARD;TRUE;TRUE;3;47;17200XXXX00520040;0.45262024;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;2;19;02241XXXX10018555;0.40753311;STANDARD;STANDARD;TRUE;TRUE;3;44;09240XXXX13020015;0.42568174;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;2;17;17250XX0716012535;0.42123586;STANDARD;STANDARD;TRUE;TRUE;3;17;17250XX0716012535;0.42123586;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;2;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;3;60;13212XXXX18520075;0.55230557;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;19;02241XXXX10018555;0.40753311;STANDARD;STANDARD;TRUE;TRUE;3;61;03741XXXX12516520;0.64690767;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;19;02241XXXX10018555;0.40753311;STANDARD;STANDARD;TRUE;TRUE;3;62;04241XXXX09022535;0.5503058;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;44;09240XXXX13020015;0.42568174;STANDARD;STANDARD;TRUE;TRUE;3;63;09240XXXX12513505;0.7107829;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;17;17250XX0716012535;0.42123586;STANDARD;STANDARD;TRUE;TRUE;3;64;17202XXXX24521540;0.96619066;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;47;17200XXXX00520040;0.45262024;STANDARD;STANDARD;TRUE;TRUE;3;65;13742XXXX01520045;0.39337497;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;2;19;02241XXXX10018555;0.40753311;STANDARD;STANDARD;TRUE;TRUE;3;66;03241XXXX20021060;0.42692875;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;2;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;3;67;18242XXXX08014580;0.43562766;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;3;68;11240XXXX16015585;0.4613077;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;3;69;18212XXXX14022580;0.52299313;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;19;02241XXXX10018555;0.40753311;STANDARD;STANDARD;TRUE;TRUE;3;70;0176104XX08017065;1;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;3;71;11742XXXX16511070;0.56599726;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;3;72;19751XX0709015540;0.91761992;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;44;09240XXXX13020015;0.42568174;STANDARD;STANDARD;TRUE;TRUE;3;73;05241XXXX11523535;0.57821089;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;3;74;16242XXXX13017045;0.65485228;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;19;02241XXXX10018555;0.40753311;STANDARD;STANDARD;TRUE;TRUE;3;75;01241XXXX13519065;0.44959147;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;2;47;17200XXXX00520040;0.45262024;STANDARD;STANDARD;TRUE;TRUE;3;76;15240XXXX07518525;0.50432618;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;3;77;15250XX0706012555;0.42947257;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;2;47;17200XXXX00520040;0.45262024;STANDARD;STANDARD;TRUE;TRUE;3;78;11220XXXX00018545;0.62556469;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;3;79;17742XXXX16021040;0.64467928;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;44;09240XXXX13020015;0.42568174;STANDARD;STANDARD;TRUE;TRUE;3;80;13240XXXX17019525;0.40102883;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;19;02241XXXX10018555;0.40753311;STANDARD;STANDARD;TRUE;TRUE;3;81;11241XXXX06516050;0.81104659;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;44;09240XXXX13020015;0.42568174;STANDARD;STANDARD;TRUE;TRUE;3;82;09741XXXX11519510;0.84921808;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;3;83;15700XXXX14016580;0.41390961;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;47;17200XXXX00520040;0.45262024;STANDARD;STANDARD;TRUE;TRUE;3;84;12740XXXX05015500;0.6654412;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;19;02241XXXX10018555;0.40753311;STANDARD;STANDARD;TRUE;TRUE;3;85;05240XXXX18020535;0.40707357;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;2;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;3;86;17742XXXX18516565;0.484766;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;3;47;17200XXXX00520040;0.45262024;STANDARD;STANDARD;TRUE;TRUE;4;65;13742XXXX01520045;0.39337497;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;3;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;4;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;3;19;02241XXXX10018555;0.40753311;STANDARD;STANDARD;TRUE;TRUE;4;66;03241XXXX20021060;0.42692875;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;3;19;02241XXXX10018555;0.40753311;STANDARD;STANDARD;TRUE;TRUE;4;75;01241XXXX13519065;0.44959147;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;3;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;4;77;15250XX0706012555;0.42947257;STANDARD;STANDARD;TRUE;TRUE
8;TRUE;3;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;4;87;15242XXXX12020060;0.52305667;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;3;65;13742XXXX01520045;0.39337497;STANDARD;STANDARD;TRUE;TRUE;4;88;14732XXXX05515055;0.827236;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;3;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;4;89;16742XXXX15516560;0.5322556;STANDARD;STANDARD;FALSE;FALSE
8;TRUE;3;56;18242XXXX15020565;0.43216762;STANDARD;STANDARD;TRUE;TRUE;4;90;18252XX0221522060;0.89776216;STANDARD;STANDARD;FALSE;FALSE
