CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
168;FALSE;FALSE;mmas;2;2.21;5.58;0.48;83;NA;NA;NA;15;0
169;FALSE;FALSE;as;1;2.05;8.46;0.89;34;NA;NA;NA;24;0
170;FALSE;FALSE;eas;1;3.69;2.33;0.01;69;NA;NA;625;37;0
171;FALSE;FALSE;mmas;2;0.32;8.95;0.03;61;NA;NA;NA;9;1
172;FALSE;FALSE;mmas;3;3.39;5.32;0.4;37;NA;NA;NA;32;1
173;FALSE;FALSE;mmas;3;2.21;6.71;0.29;27;NA;NA;NA;35;1
174;FALSE;FALSE;acs;3;2.36;6.04;0.45;13;0.84;NA;NA;22;0
175;FALSE;FALSE;mmas;3;3.14;8.34;0.54;21;NA;NA;NA;24;1
176;FALSE;FALSE;mmas;3;2.69;8.23;0.41;58;NA;NA;NA;5;1
177;FALSE;FALSE;mmas;3;3.54;4.39;0.35;40;NA;NA;NA;16;1
178;FALSE;FALSE;mmas;2;4.97;5.33;0.59;6;NA;NA;NA;31;1
179;FALSE;FALSE;mmas;3;4.86;8.05;0.24;18;NA;NA;NA;20;1
180;FALSE;FALSE;mmas;3;2.63;4;0.3;38;NA;NA;NA;12;1
181;FALSE;FALSE;mmas;3;2.37;8.35;0.06;38;NA;NA;NA;14;1
182;FALSE;FALSE;mmas;3;2.51;9.37;0.36;64;NA;NA;NA;14;1
183;FALSE;FALSE;acs;2;3.1;3.76;0.6;56;0.24;NA;NA;30;0
184;FALSE;FALSE;ras;3;3.23;5.7;0.2;46;NA;51;NA;10;1
185;FALSE;FALSE;eas;3;4.83;6.59;0.19;33;NA;NA;534;31;1
186;FALSE;FALSE;mmas;1;3.3;5.3;0.06;44;NA;NA;NA;24;1
187;FALSE;FALSE;mmas;3;3.31;6.88;0.19;21;NA;NA;NA;29;1
188;FALSE;FALSE;mmas;2;2.07;5.61;0.38;28;NA;NA;NA;14;1
189;FALSE;FALSE;acs;1;3.14;4.77;0.22;64;0.07;NA;NA;34;1
190;FALSE;FALSE;mmas;3;4.65;6.37;0.02;17;NA;NA;NA;15;1
191;FALSE;FALSE;acs;1;2.77;5.27;0.49;28;0.09;NA;NA;30;0
192;FALSE;FALSE;acs;0;4.38;4.37;0.19;6;0.95;NA;NA;NA;NA
193;FALSE;FALSE;mmas;3;2.3;6.14;0.38;31;NA;NA;NA;28;1
194;FALSE;FALSE;mmas;3;1.95;5.71;0.49;24;NA;NA;NA;6;1
195;FALSE;FALSE;mmas;3;1.85;3.93;0.38;52;NA;NA;NA;28;1
196;FALSE;FALSE;as;3;4.25;6.01;0.26;46;NA;NA;NA;39;1
197;FALSE;FALSE;acs;3;3.87;9.07;0.34;38;0.56;NA;NA;27;1
198;FALSE;FALSE;mmas;2;2.53;4.6;0.15;49;NA;NA;NA;19;1
199;FALSE;FALSE;mmas;3;4.62;5.16;0.23;32;NA;NA;NA;27;1
200;FALSE;FALSE;ras;3;3.35;6.85;0.28;11;NA;100;NA;13;1
201;FALSE;FALSE;ras;3;3.98;8.38;0.19;29;NA;14;NA;12;1
202;FALSE;FALSE;mmas;3;3.93;6.41;0.16;40;NA;NA;NA;8;1
203;FALSE;FALSE;ras;3;1.87;5.38;0.63;42;NA;36;NA;6;1
204;FALSE;FALSE;acs;3;3.33;6.84;0.16;11;0.51;NA;NA;47;1
205;FALSE;FALSE;mmas;3;2.85;5.61;0.4;19;NA;NA;NA;13;1
206;FALSE;FALSE;acs;3;4.96;5.71;0.27;10;0.4;NA;NA;26;0
207;TRUE;FALSE;acs;3;3.63;6.61;0.17;52;0.29;NA;NA;10;1
208;FALSE;FALSE;as;3;3.19;6.98;0.46;45;NA;NA;NA;17;1
209;FALSE;FALSE;mmas;3;2.85;6.95;0.51;22;NA;NA;NA;20;0
210;FALSE;FALSE;eas;0;4.46;5.35;0.08;54;NA;NA;626;NA;NA
211;FALSE;FALSE;acs;1;3.93;1.48;0.41;7;0.26;NA;NA;31;0
212;FALSE;FALSE;acs;3;3.69;7.34;0.14;17;0.14;NA;NA;41;1
213;FALSE;FALSE;acs;3;3.86;8.57;0.25;14;0.24;NA;NA;50;1
214;FALSE;FALSE;eas;0;1.76;6.48;0.25;24;NA;NA;327;NA;NA
215;FALSE;FALSE;mmas;0;2.64;6.03;0.21;32;NA;NA;NA;NA;NA
216;TRUE;FALSE;acs;3;2.71;0.12;0.07;21;0.53;NA;NA;26;1
217;FALSE;FALSE;mmas;3;4.2;6.46;0.33;19;NA;NA;NA;49;0
218;FALSE;FALSE;mmas;3;3.47;6.04;0.25;28;NA;NA;NA;6;1
219;FALSE;FALSE;acs;3;2.95;5.61;0.53;25;0.63;NA;NA;25;1
