CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
150;FALSE;mmas;3;4.04;9.87;0.84;51;NA;NA;NA;21;1
151;FALSE;eas;2;2.79;7.37;0.1;75;NA;NA;407;32;0
152;FALSE;as;0;0.29;2.37;0.59;27;NA;NA;NA;NA;NA
153;FALSE;acs;2;4.35;1.75;0.9;81;0.9;NA;NA;23;0
154;FALSE;mmas;0;1.85;6.75;0.41;33;NA;NA;NA;NA;NA
155;FALSE;as;3;3.1;4.25;0.16;9;NA;NA;NA;35;1
156;FALSE;eas;1;0.6;9.25;0.66;57;NA;NA;642;12;0
157;FALSE;ras;3;2.47;8;0.53;93;NA;37;NA;41;1
158;FALSE;mmas;1;4.97;3;0.04;45;NA;NA;NA;18;0
159;FALSE;acs;0;3.72;0.5;0.78;69;0.27;NA;NA;NA;NA
160;FALSE;eas;2;1.22;5.5;0.29;21;NA;NA;548;6;0
161;FALSE;eas;0;3.33;3.78;0.52;43;NA;NA;114;NA;NA
162;FALSE;as;2;0.83;8.78;0.02;91;NA;NA;NA;34;1
163;FALSE;acs;3;2.08;6.28;0.76;19;0.16;NA;NA;23;0
164;FALSE;mmas;1;4.58;1.28;0.27;67;NA;NA;NA;46;1
165;FALSE;ras;2;3.96;2.53;0.64;7;NA;95;NA;40;1
166;FALSE;mmas;0;1.46;7.53;0.15;55;NA;NA;NA;NA;NA
167;FALSE;acs;1;0.21;5.03;0.89;31;0.54;NA;NA;28;1
168;FALSE;eas;3;2.71;0.03;0.39;79;NA;NA;208;5;0
169;FALSE;acs;2;3.02;8.15;0.33;49;0.35;NA;NA;14;1
170;FALSE;mmas;0;0.52;3.15;0.83;97;NA;NA;NA;NA;NA
171;FALSE;ras;1;1.77;0.65;0.08;25;NA;63;NA;26;1
172;FALSE;as;3;4.27;5.65;0.58;73;NA;NA;NA;49;0
173;FALSE;as;1;3.65;6.9;0.7;85;NA;NA;NA;8;1
174;FALSE;eas;3;1.15;1.9;0.21;37;NA;NA;349;31;0
