CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
149;FALSE;43;4;0;NA;NA;1.15;0.56;0.8
150;FALSE;110;2;2;NA;NA;1.51;0.5;0.74
151;FALSE;166;5;0;NA;6;1.49;1.41;0.18
152;FALSE;81;2;2;NA;NA;1.43;0.93;0.87
153;FALSE;27;0;1;NA;NA;0.81;0.8;0.62
154;FALSE;129;2;0;NA;NA;1.99;0.85;0.71
155;FALSE;39;6;0;19;NA;1.95;1.27;0.31
156;FALSE;97;4;2;NA;NA;2.09;2.14;0.75
157;TRUE;89;4;2;NA;NA;2.38;2.47;0.78
158;FALSE;89;2;2;NA;NA;1.45;2.16;0.84
159;FALSE;107;4;2;NA;NA;1.72;2.2;0.78
160;FALSE;161;4;2;NA;NA;2.22;2.46;0.74
161;FALSE;102;4;2;NA;NA;1.92;2.21;0.9
162;FALSE;109;4;2;NA;NA;1.96;2.12;0.87
163;FALSE;122;1;2;NA;NA;2.25;2.08;0.89
164;FALSE;7;4;0;NA;NA;1.87;2.01;0.64
165;FALSE;67;4;2;NA;NA;1.81;2.11;0.89
166;FALSE;93;4;2;NA;NA;2.06;2.1;0.74
167;FALSE;50;4;0;NA;NA;1.88;1.38;0.56
168;FALSE;79;4;2;NA;NA;2.35;2.17;0.78
169;FALSE;83;4;2;NA;NA;2.17;2.41;0.79
170;FALSE;160;4;2;NA;NA;0.99;2.08;0.89
171;FALSE;28;4;0;NA;NA;1.95;1.91;0.5
172;FALSE;117;2;2;NA;NA;2.36;2.3;0.85
173;FALSE;55;2;0;NA;NA;2;2.5;0.48
174;FALSE;42;4;2;NA;NA;2.46;2.25;0.89
175;FALSE;121;4;2;NA;NA;2.23;2.45;0.67
176;FALSE;119;4;2;NA;NA;2.5;2.02;0.9
177;FALSE;123;4;2;NA;NA;2.33;2.15;0.73
178;FALSE;143;4;2;NA;NA;2.23;1.97;0.73
179;FALSE;111;2;0;NA;NA;2.24;2.36;0.72
180;FALSE;105;4;2;NA;NA;1.65;1.94;0.85
181;FALSE;73;4;2;NA;NA;2.32;2.09;0.57
182;FALSE;60;4;1;NA;NA;1.8;1.53;0.51
183;TRUE;47;4;0;NA;NA;1.63;2.04;0.67
184;FALSE;25;4;0;NA;NA;1.85;2.28;0.49
185;FALSE;94;4;2;NA;NA;2.44;2.24;0.76
186;FALSE;122;4;1;NA;NA;2.02;2.33;0.74
187;FALSE;105;4;2;NA;NA;1.67;2.09;0.76
188;TRUE;130;4;2;NA;NA;2.29;2.23;0.82
189;FALSE;12;4;2;NA;NA;1.57;2.47;0.47
190;FALSE;15;4;2;NA;NA;1.8;1.79;0.45
191;FALSE;107;4;2;NA;NA;2.19;2.29;0.67
192;TRUE;112;4;2;NA;NA;1.84;2.37;0.79
193;FALSE;95;4;2;NA;NA;1.38;2.33;0.81
194;FALSE;106;4;2;NA;NA;1.9;2.34;0.74
195;FALSE;98;4;2;NA;NA;2.46;2.43;0.73
196;FALSE;122;4;2;NA;NA;2.15;2.46;0.71
197;FALSE;73;4;2;NA;NA;1.88;2.29;0.79
198;FALSE;94;4;2;NA;NA;2.41;2.24;0.77
199;FALSE;54;4;0;NA;NA;1.86;1.81;0.63
200;TRUE;81;4;2;NA;NA;2.25;2.13;0.77
201;FALSE;84;4;2;NA;NA;2.15;2.21;0.79
202;FALSE;43;4;0;NA;NA;1.85;2.03;0.59
203;FALSE;105;1;2;NA;NA;2.31;2.39;0.73
204;FALSE;96;4;2;NA;NA;1.92;2.2;0.9
205;TRUE;52;4;0;NA;NA;1.64;2.1;0.65
206;FALSE;91;4;2;NA;NA;2.42;2.21;0.83
207;FALSE;97;4;2;NA;NA;1.9;2.2;0.75
208;FALSE;143;4;2;NA;NA;1.95;2.47;0.87
209;FALSE;102;4;2;NA;NA;2.41;2.23;0.67
210;FALSE;84;5;2;NA;2;2.07;2.15;0.78
211;FALSE;44;2;0;NA;NA;1.69;1.86;0.67
212;FALSE;105;4;2;NA;NA;2.47;2.4;0.87
213;FALSE;94;4;2;NA;NA;2.13;2.19;0.83
214;FALSE;22;4;0;NA;NA;1.22;1.92;0.79
215;FALSE;104;4;2;NA;NA;1.56;2.44;0.79
216;FALSE;103;4;2;NA;NA;2.08;2.4;0.83
217;FALSE;46;4;0;NA;NA;1.72;2.07;0.64
218;FALSE;123;4;2;NA;NA;2.47;2.42;0.88
219;FALSE;42;4;0;NA;NA;1.65;1.8;0.76
220;TRUE;50;4;0;NA;NA;1.91;2.16;0.72
221;FALSE;84;4;2;NA;NA;1.61;2.32;0.58
222;FALSE;119;4;2;NA;NA;2.5;2.37;0.79
223;FALSE;105;4;2;NA;NA;1.89;2.26;0.8
224;FALSE;61;4;2;NA;NA;2.3;2.25;0.78
225;FALSE;103;4;2;NA;NA;2.46;2.24;0.74
226;FALSE;43;4;0;NA;NA;1.91;2.29;0.72
227;FALSE;89;4;2;NA;NA;2.41;2.46;0.72
228;FALSE;73;4;2;NA;NA;2.42;2.31;0.76
229;FALSE;57;4;0;NA;NA;1.66;2.22;0.53
