CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
313;FALSE;acs;3;3.09;1.25;0.63;16;0.27;NA;NA;6;1
314;TRUE;acs;3;2.54;3.1;0.5;43;0.12;NA;NA;22;1
315;FALSE;acs;3;3.72;5.5;0.21;32;0.65;NA;NA;23;1
316;FALSE;acs;3;3.77;1.21;0.3;33;0.25;NA;NA;26;1
317;FALSE;as;3;2.17;6.9;0.31;35;NA;NA;NA;10;1
318;FALSE;acs;3;3.69;5.46;0.15;38;0.47;NA;NA;23;1
319;FALSE;acs;3;2.56;1.98;0.34;8;0.21;NA;NA;13;1
320;FALSE;mmas;3;2.55;0.86;0.38;29;NA;NA;NA;22;1
321;FALSE;acs;3;2.19;2.94;0.09;58;0.15;NA;NA;30;0
322;FALSE;mmas;3;2.02;4.13;0.04;27;NA;NA;NA;20;1
323;FALSE;acs;3;3.14;3.16;0.58;40;0.41;NA;NA;37;1
324;FALSE;acs;3;4.65;1.64;0.49;13;0.22;NA;NA;15;1
325;FALSE;acs;3;3.1;2.39;0.2;70;0.26;NA;NA;29;1
326;FALSE;as;3;3.3;3.1;0.28;41;NA;NA;NA;35;1
327;FALSE;acs;3;3.32;2.61;0.31;31;0.23;NA;NA;33;1
328;FALSE;acs;3;3.77;4.66;0.38;59;0.04;NA;NA;29;0
329;FALSE;acs;3;1.69;4.69;0.15;54;0.68;NA;NA;12;1
330;FALSE;acs;3;3.85;3.93;0.17;8;0.1;NA;NA;15;1
331;FALSE;mmas;3;1.04;5.71;0.02;41;NA;NA;NA;18;1
332;FALSE;acs;3;3.58;2.77;0.54;38;0.22;NA;NA;21;1
333;FALSE;acs;1;2.75;3.79;0.28;33;0.46;NA;NA;21;0
334;FALSE;eas;3;4.61;4.16;0.36;54;NA;NA;474;24;1
335;FALSE;acs;3;2.69;2.17;0.39;55;0.26;NA;NA;24;1
336;FALSE;acs;3;3.85;4.06;0.21;7;0.2;NA;NA;38;0
337;FALSE;acs;2;3.43;0.28;0.49;12;0.49;NA;NA;27;0
338;FALSE;acs;3;1.07;3.27;0.2;29;0.21;NA;NA;21;1
339;FALSE;acs;3;2.75;1.35;0.27;12;0.03;NA;NA;19;1
340;FALSE;acs;0;2.91;0.73;0.5;30;0.32;NA;NA;NA;NA
341;FALSE;acs;3;3.02;2.48;0.21;56;0.2;NA;NA;24;1
342;FALSE;acs;3;1.01;3.42;0.27;30;0.62;NA;NA;9;1
343;FALSE;acs;3;3.05;3.04;0.49;9;0.08;NA;NA;21;1
344;FALSE;acs;2;4.08;4.6;0.14;17;0.85;NA;NA;25;1
345;FALSE;acs;3;2.45;4.24;0.35;65;0.13;NA;NA;33;1
346;FALSE;acs;3;2.4;5.87;0.18;43;0.44;NA;NA;8;1
347;FALSE;acs;3;2.96;4.08;0.43;57;0.19;NA;NA;25;1
348;FALSE;acs;3;2.35;5.92;0.18;35;0.54;NA;NA;23;1
