CONFIG_ID;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb;MNRG
982;acs;3;3.04;4.64;0.56;63;0.15;NA;NA;14;1;0.357309830310123
983;acs;3;2.6;2.49;0.82;58;0.19;NA;NA;14;1;0.326079578700995
984;acs;3;2.45;2.08;0.8;53;0.12;NA;NA;13;1;0.319635386190755
985;acs;3;2.35;2.38;0.76;53;0.16;NA;NA;10;1;0.321122001170275
986;acs;3;3.58;4.44;0.52;64;0.08;NA;NA;12;1;0.287711015213575
987;acs;3;2.52;1.75;0.89;62;0.18;NA;NA;11;1;0.404647820362785
988;acs;3;2.32;1.85;0.92;54;0.11;NA;NA;12;1;0.30444558221182
989;acs;3;3.07;5.19;0.46;78;0.65;NA;NA;10;0;0.964255046811001
99;acs;3;2.26;3.07;0.84;22;0.39;NA;NA;15;1;0.443086600351082
990;acs;3;4.24;4.72;0.78;52;0.11;NA;NA;16;1;0.693592378583967
991;acs;2;3.14;8.15;0.56;55;0.58;NA;NA;24;1;0.882965915740199
992;eas;3;4.2;3.55;0.25;68;NA;NA;543;18;1;0.907758191925102
993;acs;3;4.24;7.31;0.06;48;0.53;NA;NA;7;0;0.683772308367466
994;acs;3;4.22;1.31;0.83;52;0.33;NA;NA;10;0;0.75134362200117
995;acs;3;2.39;6.91;0.13;29;0.91;NA;NA;9;0;0.558480836746635
996;acs;3;4.43;4.78;0.87;74;0.04;NA;NA;27;1;0.66345157987127
997;acs;3;4.08;6.3;0.38;40;0.21;NA;NA;15;1;0.634184098888239
998;acs;3;2.66;5.95;0.3;37;0.48;NA;NA;6;0;0.63161900234055
999;acs;3;1.92;8.01;0.36;8;0.7;NA;NA;19;1;0.514937463428906
