CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
68;FALSE;FALSE;mmas;3;1.81;5.42;0.49;10;NA;NA;NA;19;0
69;FALSE;FALSE;as;1;1.18;6.67;0.36;46;NA;NA;NA;37;1
70;FALSE;FALSE;eas;3;3.68;1.67;0.86;94;NA;NA;4;14;0
71;FALSE;FALSE;mmas;2;4.93;4.17;0.11;22;NA;NA;NA;48;1
72;FALSE;FALSE;acs;0;2.43;9.17;0.61;70;0.63;NA;NA;NA;NA
73;FALSE;FALSE;as;2;3.37;9.8;0.92;40;NA;NA;NA;5;1
74;FALSE;FALSE;eas;0;0.87;4.8;0.42;88;NA;NA;239;NA;NA
75;FALSE;FALSE;ras;3;4.62;7.3;0.18;64;NA;35;NA;40;0
76;FALSE;FALSE;mmas;1;2.12;2.3;0.67;16;NA;NA;NA;17;1
77;FALSE;FALSE;as;0;4;8.55;0.8;28;NA;NA;NA;NA;NA
78;FALSE;FALSE;ras;2;1.5;3.55;0.3;76;NA;72;NA;22;1
79;FALSE;FALSE;acs;1;2.75;6.05;0.05;100;0.82;NA;NA;11;1
80;FALSE;FALSE;mmas;3;0.25;1.05;0.55;52;NA;NA;NA;34;0
81;FALSE;FALSE;as;0;1.34;0.11;0.08;61;NA;NA;NA;NA;NA
82;FALSE;FALSE;eas;2;3.84;5.11;0.58;13;NA;NA;356;9;0
83;FALSE;FALSE;acs;1;0.09;2.61;0.83;37;0.16;NA;NA;21;0
84;FALSE;FALSE;mmas;3;2.59;7.61;0.33;85;NA;NA;NA;44;1
85;TRUE;FALSE;acs;3;1.97;3.86;0.95;25;0.54;NA;NA;38;1
86;FALSE;FALSE;eas;1;4.47;8.86;0.46;73;NA;NA;75;15;0
87;FALSE;FALSE;ras;0;3.22;6.36;0.7;49;NA;25;NA;NA;NA
88;FALSE;FALSE;as;2;0.72;1.36;0.21;97;NA;NA;NA;27;0
89;FALSE;FALSE;mmas;0;0.4;5.73;0.89;91;NA;NA;NA;NA;NA
90;FALSE;FALSE;acs;2;2.9;0.73;0.39;43;0.97;NA;NA;47;0
91;FALSE;FALSE;as;3;4.15;3.23;0.64;67;NA;NA;NA;12;1
92;FALSE;FALSE;eas;2;4.97;8.34;0.65;24;NA;NA;494;47;1
93;FALSE;FALSE;as;3;3.78;0.11;0.06;15;NA;NA;NA;18;1
94;FALSE;FALSE;as;0;0.85;7.04;0.59;7;NA;NA;NA;NA;NA
95;FALSE;FALSE;acs;0;1.06;5.46;0.98;62;0.06;NA;NA;NA;NA
96;FALSE;FALSE;eas;3;2.56;6.76;0.68;45;NA;NA;459;17;0
97;FALSE;FALSE;mmas;0;2.97;9.49;0.21;63;NA;NA;NA;NA;NA
98;FALSE;FALSE;ras;2;0.16;9.27;0.65;41;NA;58;NA;14;0
99;FALSE;FALSE;ras;2;4.49;5.23;0.2;70;NA;18;NA;41;0
100;FALSE;FALSE;acs;1;2.76;4.29;0.74;55;0.18;NA;NA;27;1
101;FALSE;FALSE;acs;3;2.25;6.21;0.29;46;0.63;NA;NA;28;0
102;FALSE;FALSE;as;1;1.18;5.28;0.42;21;NA;NA;NA;21;1
103;FALSE;FALSE;as;3;0.69;6.35;0.31;64;NA;NA;NA;11;0
104;FALSE;FALSE;ras;1;1.33;9.58;0.52;75;NA;13;NA;6;0
105;FALSE;FALSE;mmas;3;0.23;8.41;0.71;67;NA;NA;NA;7;0
106;FALSE;FALSE;acs;3;3.68;7.52;0.96;28;0.52;NA;NA;35;0
107;FALSE;FALSE;acs;1;0.79;6.39;0.05;30;0.21;NA;NA;34;1
108;FALSE;FALSE;mmas;3;3.38;4.14;0.98;71;NA;NA;NA;37;1
109;FALSE;FALSE;eas;3;1.6;4.2;0.56;82;NA;NA;615;49;0
110;FALSE;FALSE;as;3;2.85;0.3;0.53;12;NA;NA;NA;48;0
111;FALSE;FALSE;as;1;3.86;2.74;0.8;18;NA;NA;NA;34;0
112;FALSE;FALSE;acs;0;2.01;6.48;0.57;12;0.17;NA;NA;NA;NA
113;FALSE;FALSE;mmas;2;0.38;8.73;0.96;47;NA;NA;NA;40;0
114;FALSE;FALSE;acs;3;0.56;2.23;0.94;57;0.15;NA;NA;24;0
115;FALSE;FALSE;eas;2;2.1;1.97;0.04;58;NA;NA;466;42;0
116;FALSE;FALSE;mmas;3;2.48;7;0.31;33;NA;NA;NA;37;0
117;FALSE;FALSE;acs;0;2.78;5.44;0.25;31;0.88;NA;NA;NA;NA
118;FALSE;FALSE;ras;3;2.5;4.86;0.5;26;NA;70;NA;35;0
119;FALSE;FALSE;mmas;0;3.37;6.09;0.44;35;NA;NA;NA;NA;NA
120;FALSE;FALSE;mmas;0;2.7;6.35;0.45;33;NA;NA;NA;NA;NA
121;FALSE;FALSE;mmas;2;2.21;6.96;0.92;34;NA;NA;NA;23;0
122;FALSE;FALSE;ras;3;3.9;7.23;0.65;23;NA;79;NA;32;1
123;FALSE;FALSE;mmas;3;3.52;3.38;0.77;21;NA;NA;NA;21;0
124;FALSE;FALSE;ras;2;1.67;4.17;0.15;60;NA;27;NA;32;1
125;FALSE;FALSE;ras;1;2.55;6.32;0.78;74;NA;80;NA;26;1
126;FALSE;FALSE;mmas;3;2.01;9.11;0.56;38;NA;NA;NA;36;0
127;FALSE;FALSE;acs;0;2.67;4.88;0.94;16;0.32;NA;NA;NA;NA
128;FALSE;FALSE;eas;3;1.69;2.24;0.58;11;NA;NA;59;50;0
